species,code.name,tongue.class,wood.dbs,richness,shannon,simpson,faith.pd,wood.PC1,wood.PC2,wood.PC3
affinis,affinis,short,19.93438432,12,2.210292052,0.86389414,1178.793081,-8.3911623,-10.2103,-7.10752962
auricomus,auric,long,12.96821628,9,1.95904099,0.843621399,798.801805,9.0166429,3.346581,-0.03448829
bimaculatus,bimac,medium,29.23270428,15,2.310328348,0.874095989,1357.887075,3.6571925,4.497108,7.07526247
borealis,bor,long,15.9767932,11,1.890255507,0.793279766,1007.810957,9.8456568,-3.523339,-7.49791583
fervidus,ferv,long,22.25644034,12,2.13757229,0.849862259,867.966807,11.2237489,3.750108,-5.45506882
griseocollis,gris,short,35.94647493,15,2.177446152,0.830320248,1080.30424,-0.3696295,10.987894,16.49490912
impatiens,imp,medium,40.30790189,16,2.418894907,0.88351962,1117.416049,-21.6499046,17.102104,-8.85717774
pensylvanicus,penn,long,16.6835059,11,2.147973415,0.864961333,584.658798,6.4868945,-1.840828,-1.64763598
perplexus,perp,medium,24.58859225,17,2.498936614,0.897502601,1535.073404,-5.4580945,-6.039192,-3.06833799
ternarius,tern,medium,23.56890678,14,2.332133864,0.884765625,1108.946972,-7.2026733,-8.897149,6.69070941
terricola,terri,short,24.14437284,14,2.26284227,0.862485207,1361.639939,-8.2059246,-13.029201,6.8210109
vagans,vag,medium-long,28.52599158,11,2.073280175,0.844875346,794.525681,11.0472533,3.856214,-3.41373764